,Player,Tm,Pos,Weighted_Score,Salary
61,Devin Vassell,SAS,SG,0.268301," $4,568,742.00 "
62,Moses Moody,GSW,SG,0.265566," $3,851,211.00 "
63,Keon Ellis,SAC,SG,0.264165," $524,000.00 "
64,Austin Rivers,MIN,SG,0.263628," $2,992,130.00 "
65,Shaedon Sharpe,POR,SG,0.261045," $6,191,495.00 "
66,Benedict Mathurin,IND,SG,0.257101," $6,782,373.00 "
67,Andrew Nembhard,IND,SG,0.256239," $2,310,742.00 "
68,Ty Jerome,GSW,SG,0.25556," $4,869,357.00 "
69,Christian Braun,DEN,SG,0.249866," $2,891,992.00 "
70,Jaylen Nowell,MIN,SG,0.245998," $1,988,006.00 "
71,Rodney McGruder,DET,SG,0.245411," $2,366,628.00 "
72,Jay Scrubb,ORL,SG,0.240003," $51,195.00 "
73,Will Barton,TOR,SG,0.238858," $15,506,861.00 "
74,Kendrick Nunn,WAS,SG,0.238462," $5,405,881.00 "
75,Danny Green,CLE,SG,0.237746," $12,058,233.00 "
76,Jaden Hardy,DAL,SG,0.237367," $1,048,000.00 "
77,Sam Merrill,CLE,SG,0.23724," $1,138,346.00 "
78,Max Christie,LAL,SG,0.235117," $1,048,000.00 "
79,Jaden Ivey,DET,SG,0.234885," $7,467,530.00 "
80,Theo Pinson,DAL,SG,0.230749," $2,026,613.00 "
81,Gabe York,IND,SG,0.228803," $33,126.00 "
82,Gary Payton II,GSW,SG,0.225734," $8,546,441.00 "
83,Talen Horton-Tucker,UTA,SG,0.216066," $10,564,637.00 "
84,R.J. Hampton,DET,SG,0.21586," $2,984,296.00 "
85,Garrett Temple,NOP,SG,0.214454," $5,308,575.00 "
86,Edmond Sumner,BRK,SG,0.214068," $2,026,613.00 "
87,Evan Fournier,NYK,SG,0.212796," $18,534,451.00 "
88,Cam Thomas,BRK,SG,0.21151," $2,201,645.00 "
89,Mac McClung,PHI,SG,0.194349," $165,632.00 "
90,Trevor Keels,NYK,SG,0.192987," $536,046.00 "
91,A.J. Lawson,DAL,SG,0.191653," $382,460.00 "
92,Lester Quinones,GSW,SG,0.191142," $133,247.00 "
93,Davon Reed,LAL,SG,0.187378," $1,958,610.00 "
94,Kevon Harris,ORL,SG,0.187149," $524,000.00 "
95,Malaki Branham,SAS,SG,0.178585," $3,012,466.00 "
96,Kobi Simmons,CHO,SG,0.178227," $33,768.00 "
97,James Bouknight,CHO,SG,0.167758," $4,491,762.00 "
98,Furkan Korkmaz,PHI,SG,0.167462," $5,148,458.00 "
99,Dru Smith,BRK,SG,0.163581," $385,472.00 "
100,Bryn Forbes,MIN,SG,0.162049," $2,366,628.00 "
101,Dalen Terry,CHI,SG,0.161763," $3,286,158.00 "
102,Bryce McGowens,CHO,SG,0.159781," $1,504,436.00 "
103,Frank Ntilikina,DAL,SG,0.1528," $2,096,779.00 "
104,Shaquille Harrison,POR,SG,0.149795," $138,866.00 "
105,Peyton Watson,DEN,SG,0.149552," $2,259,102.00 "
106,Duane Washington Jr.,PHO,SG,0.146998," $647,471.00 "
107,Jaden Springer,PHI,SG,0.145394," $2,188,300.00 "
108,Johnny Juzang,UTA,SG,0.143512," $524,000.00 "
109,Vince Williams Jr.,MEM,SG,0.137899," $524,000.00 "
110,Keon Johnson,POR,SG,0.137519," $2,760,644.00 "
111,Jeenathan Williams,POR,SG,0.136343," $54,207.00 "
112,Jared Rhoden,DET,SG,0.134798," $316,207.00 "
113,JD Davison,BOS,SG,0.132734," $524,000.00 "
114,Romeo Langford,SAS,SG,0.120357," $5,801,548.00 "
115,Johnny Davis,WAS,SG,0.119939," $4,953,146.00 "
116,Josh Christopher,HOU,SG,0.112549," $2,442,593.00 "
117,Wendell Moore Jr.,MIN,SG,0.105605," $2,375,004.00 "
118,Xavier Moon,LAC,SG,0.103944," $120,459.00 "
119,Joshua Primo,SAS,SG,0.099702," $4,267,372.00 "
120,Trevelin Queen,IND,SG,0.075523," $863,798.00 "
121,Tyrese Martin,ATL,SG,0.072675," $1,048,000.00 "
122,Blake Wesley,SAS,SG,0.071924," $2,456,309.00 "
123,Kendall Brown,IND,SG,0.049224," $524,000.00 "
124,David Duke Jr.,BRK,SG,0.044741," $547,057.00 "
125,Trent Forrest,ATL,SG,0.009995," $524,000.00 "
126,Donovan Williams,ATL,SG,0.007135," $246,942.00 "
127,Dereon Seabron,NOP,SG,NaN," $527,012.00 "
128,Alondes Williams,BRK,SG,NaN," $262,000.00 "
